particle_number,pi
82200001,3.141609
82300001,3.141610
82400001,3.141619
82500001,3.141626
82600001,3.141617
82700001,3.141628
82800001,3.141639
82900001,3.141634
83000001,3.141640
83100001,3.141640
83200001,3.141637
83300001,3.141643
83400001,3.141640
83500001,3.141629
83600001,3.141635
83700001,3.141638
83800001,3.141645
83900001,3.141649
84000001,3.141650
84100001,3.141651
84200001,3.141655
84300001,3.141659
84400001,3.141664
84500001,3.141666
84600001,3.141672
84700001,3.141669
84800001,3.141670
84900001,3.141666
85000001,3.141663
85100001,3.141668
85200001,3.141676
85300001,3.141674
85400001,3.141679
85500001,3.141678
85600001,3.141669
85700001,3.141676
85800001,3.141678
85900001,3.141685
86000001,3.141684
86100001,3.141676
86200001,3.141679
86300001,3.141673
86400001,3.141673
86500001,3.141665
86600001,3.141664
86700001,3.141655
86800001,3.141658
86900001,3.141656
87000001,3.141660
87100001,3.141679
87200001,3.141679
87300001,3.141681
87400001,3.141677
87500001,3.141690
87600001,3.141685
87700001,3.141689
87800001,3.141697
87900001,3.141696
88000001,3.141683
88100001,3.141681
88200001,3.141682
88300001,3.141674
88400001,3.141674
88500001,3.141682
88600001,3.141689
88700001,3.141693
88800001,3.141680
88900001,3.141671
89000001,3.141665
89100001,3.141657
89200001,3.141655
89300001,3.141649
89400001,3.141656
89500001,3.141653
89600001,3.141659
89700001,3.141658
89800001,3.141663
89900001,3.141672
90000001,3.141663
90100001,3.141668
90200001,3.141680
90300001,3.141685
90400001,3.141691
90500001,3.141691
90600001,3.141688
90700001,3.141689
90800001,3.141694
90900001,3.141701
91000001,3.141714
91100001,3.141711
91200001,3.141707
91300001,3.141706
91400001,3.141705
91500001,3.141711
91600001,3.141708
